
1001,10,15,12,45
1002,10,0,11,20
1003,10,45,12,0
1004,10,30,10,15
1005,10,20,10,0
1006,10,2,12,20
1007,10,1,12,21
1008,10,3,12,30
1009,10,30,12,40
1010,10,32,12,41
1011,10,33,11,30
1012,10,36,11,35
1013,10,24,12,50
1014,10,23,12,51
1015,10,26,12,55
1016,10,24,12,56
1017,10,25,12,43
1018,10,21,13,00
1019,10,35,13,15
1020,10,34,13,17
1021,10,37,13,20
1022,10,39,13,14
1023,10,45,12,57
1024,11,15,12,45
1025,11,0,11,20
1026,11,45,12,0
1027,11,30,10,15
1028,11,20,10,0
1029,11,2,12,20
1030,11,1,12,21
1031,11,3,12,30
1032,11,30,12,40
1033,11,32,12,41
1034,11,33,11,30
1035,11,36,11,35
1036,11,24,12,50
1037,11,23,12,51
1038,11,26,12,55
1039,11,24,12,56
1040,11,25,12,43
1041,11,21,13,00
1042,11,35,13,15
1043,11,34,13,17
1044,11,37,13,20
1045,11,39,13,14
1046,11,45,12,57
1047,13,15,12,45
1048,13,0,11,20
1049,13,45,12,0
1050,13,30,10,15
1051,13,20,10,0
1052,13,2,12,20
1053,13,1,12,21
1054,13,3,12,30
1055,13,30,12,40
1056,13,32,12,41
1057,13,33,11,30
1058,13,36,11,35
1059,13,24,12,50
1060,13,23,12,51
1061,13,26,12,55
1062,13,24,12,56
1063,13,25,12,43
1064,13,21,13,00
1065,13,35,13,15
1066,13,34,13,17
1067,13,37,13,20
1068,13,39,13,14
1069,13,45,12,57
1070,14,23,13,01
1071,17,14,11,14
